county,Democrat,Republican,proportion,democratWin
Cochise,7919.0,10951.0,0.4196608373078961,False
Coconino,12679.0,6909.0,0.6472840514600776,True
Gila,3501.0,4752.0,0.42420937840785167,False
Graham,2404.0,4892.0,0.3294956140350877,False
Greenlee,822.0,543.0,0.6021978021978022,True
La Paz,568.0,1243.0,0.31363887355052456,False
Maricopa,213930.0,250541.0,0.46058849745193997,False
Mohave,7017.0,19921.0,0.26048704432400327,False
Navajo,7036.0,7480.0,0.48470653072471753,False
Pima,96545.0,69795.0,0.5804075988938319,True
Pinal,15185.0,17828.0,0.45997031472450245,False
Santa Cruz,48977.0,9636.0,0.8355996110077969,True
Yavapai,15509.0,30811.0,0.3348229706390328,False
Yuma,6592.0,7468.0,0.46884779516358466,False
Arkansas,856.0,2684.0,0.24180790960451978,False
Ashley,2355.0,1419.0,0.624006359300477,True
Baxter,2198.0,8480.0,0.20584379097209216,False
Benton,34117.0,78520.0,0.3028933654127862,False
Boone,45680.0,66514.0,0.40715189760593257,False
Bradley,3649.0,17966.0,0.1688179504973398,False
Carroll,36999.0,85166.0,0.30286088486882495,False
Chicot,1617.0,785.0,0.6731890091590341,True
Clark,44638.0,139512.0,0.24240021721422753,False
Cleveland,35364.0,46980.0,0.4294666278053046,False
Columbia,42640.0,67450.0,0.38731946589154326,False
Conway,3298.0,2346.0,0.5843373493975904,True
Craighead,5405.0,12007.0,0.3104181024580749,False
Crawford,20865.0,48313.0,0.3016132296394808,False
Crittenden,4685.0,3719.0,0.5574726320799619,True
Cross,1008.0,2359.0,0.2993762993762994,False
Desha,1791.0,427.0,0.8074842200180342,True
Drew,1725.0,2113.0,0.4494528400208442,False
Faulkner,6851.0,18277.0,0.27264406240050937,False
Fulton,129598.0,110932.0,0.538801812663701,True
Garland,5838.0,15310.0,0.27605447323623983,False
Grant,22018.0,44505.0,0.3309832689445756,False
Hempstead,950.0,2343.0,0.2884907379289402,False
Hot Spring,2292.0,4185.0,0.3538675312644743,False
Howard,59382.0,49489.0,0.545434505056443,True
Independence,1580.0,5794.0,0.2142663411988066,False
Izard,755.0,2044.0,0.26973919256877454,False
Johnson,30697.0,83090.0,0.2697759849543445,False
Lafayette,19623.0,34437.0,0.3629855715871254,False
Lincoln,45437.0,76592.0,0.37234591777364395,False
Little River,1162.0,1298.0,0.47235772357723577,False
Logan,14970.0,29824.0,0.3341965441800241,False
Lonoke,2481.0,11449.0,0.17810480976310122,False
Miller,2764.0,12548.0,0.18051201671891326,False
Mississippi,3054.0,5211.0,0.36950998185117967,False
Nevada,15016.0,9727.0,0.606878713171402,True
Newton,38928.0,41714.0,0.4827261228640163,False
Ouachita,13418.0,14472.0,0.48110433847257084,False
Phillips,3554.0,1877.0,0.6543914564536918,True
Poinsett,945.0,2634.0,0.2640402347024308,False
Polk,90349.0,149459.0,0.3767555711235655,False
Pope,3134.0,10309.0,0.2331324853083389,False
Prairie,1035.0,1393.0,0.4262767710049423,False
Pulaski,52648.0,66644.0,0.44133722294873085,False
Saint Francis,2266.0,1415.0,0.6155935886987232,True
Saline,10471.0,30349.0,0.2565164135227829,False
Scott,21955.0,33494.0,0.39594943100867463,False
Searcy,385.0,2336.0,0.14149209849320102,False
Sebastian,5920.0,18181.0,0.24563296128791337,False
Sevier,3128.0,19151.0,0.14040127474303155,False
Sharp,902.0,2867.0,0.2393207747413107,False
Stone,3347.0,13607.0,0.19741653886988322,False
Union,97340.0,100843.0,0.49116220866572813,False
Van Buren,7889.0,13412.0,0.37035819914558005,False
White,7585.0,30449.0,0.19942682862701794,False
Woodruff,1154.0,286.0,0.8013888888888889,True
Yell,1155.0,2374.0,0.3272881836214225,False
Alameda,198426.0,28267.0,0.8753071334359684,True
Alpine,239.0,147.0,0.6191709844559585,True
Amador,3702.0,4256.0,0.46519225936164865,False
Butte,24428.0,20665.0,0.5417248796930787,True
Calaveras,5022.0,5712.0,0.4678591391839016,False
Colusa,1237.0,1559.0,0.44241773962804004,False
Contra Costa,116718.0,39024.0,0.7494317525137728,True
Del Norte,2338.0,1828.0,0.5612097935669708,True
El Dorado,19864.0,21329.0,0.48221785254776295,False
Fresno,54567.0,46715.0,0.5387630576015482,True
Glenn,1293.0,2011.0,0.39134382566585957,False
Humboldt,19660.0,7375.0,0.7272054743850564,True
Imperial,8474.0,2875.0,0.7466737157458807,True
Inyo,1713.0,1698.0,0.5021987686895338,True
Kern,32579.0,41686.0,0.4386857873830203,False
Kings,6469.0,8371.0,0.43591644204851754,False
Lake,228316.0,233543.0,0.49434134660145196,False
Lassen,1460.0,2868.0,0.33733826247689463,False
Los Angeles,1025158.0,243464.0,0.8080878307328739,True
Madera,8457.0,10021.0,0.45767940253274164,False
Marin,47086.0,9323.0,0.8347249552376393,True
Mariposa,2013.0,2394.0,0.4567733151803948,False
Mendocino,7344.0,2155.0,0.7731340141067481,True
Merced,12359.0,8132.0,0.6031428431994534,True
Modoc,520.0,1159.0,0.3097081596188207,False
Mono,1672.0,1062.0,0.6115581565471836,True
Monterey,30284.0,11001.0,0.7335351822695895,True
Napa,12151.0,5206.0,0.7000633750072017,True
Orange,395850.0,344390.0,0.5347589970820275,True
Placer,30086.0,31276.0,0.49030344512890717,False
Plumas,2685.0,3042.0,0.4688318491356731,False
Riverside,121712.0,97548.0,0.5551035300556417,True
Sacramento,118815.0,55357.0,0.682170498128287,True
San Benito,3461.0,1830.0,0.6541296541296542,True
San Bernardino,123016.0,83234.0,0.5964412121212121,True
San Diego,251711.0,153102.0,0.6217957427256535,True
San Francisco,152261.0,11291.0,0.9309638524750538,True
San Joaquin,41447.0,27000.0,0.6055342089499905,True
San Luis Obispo,32980.0,24422.0,0.5745444409602453,True
San Mateo,77361.0,18350.0,0.8082770005537504,True
Santa Barbara,46519.0,23240.0,0.6668530225490618,True
Santa Clara,180431.0,52474.0,0.7746978381743629,True
Shasta,12015.0,17508.0,0.40697083629712427,False
Sierra,1418.0,1726.0,0.4510178117048346,False
Siskiyou,3886.0,4135.0,0.48447824460790423,False
Solano,55383.0,21763.0,0.7178985300598865,True
Sonoma,87638.0,23061.0,0.7916783349443084,True
Stanislaus,27395.0,19148.0,0.5885954923404164,True
Sutter,4264.0,5469.0,0.4380971951094216,False
Tehama,3031.0,4506.0,0.4021493963115298,False
Trinity,1988.0,4582.0,0.3025875190258752,False
Tulare,14130.0,18170.0,0.4374613003095975,False
Tuolumne,5474.0,5815.0,0.4848968021968288,False
Ventura,84371.0,49779.0,0.6289303019008573,True
Yolo,24099.0,6756.0,0.7810403500243073,True
Yuba,3302.0,3726.0,0.46983494593056346,False
Adams,28687.0,54527.0,0.3447376643353282,False
Alamosa,257.0,0.0,1.0,True
Arapahoe,11406.0,0.0,1.0,True
Archuleta,239.0,0.0,1.0,True
Baca,29.0,0.0,1.0,True
Bent,50.0,0.0,1.0,True
Boulder,17496.0,0.0,1.0,True
Broomfield,1573.0,0.0,1.0,True
Chaffee,614.0,0.0,1.0,True
Cheyenne,81.0,1505.0,0.0510718789407314,False
Clear Creek,358.0,0.0,1.0,True
Conejos,123.0,0.0,1.0,True
Costilla,87.0,0.0,1.0,True
Crowley,31.0,0.0,1.0,True
Custer,3581.0,9351.0,0.27690999072069283,False
Delta,3869.0,5884.0,0.3966984517584333,False
Denver,26721.0,0.0,1.0,True
Dolores,30.0,0.0,1.0,True
Douglas,50248.0,90328.0,0.3574436603687685,False
Eagle,967.0,0.0,1.0,True
El Paso,61306.0,27892.0,0.68730240588354,True
Elbert,1295.0,2990.0,0.30221703617269546,False
Fremont,780.0,3107.0,0.20066889632107024,False
Garfield,4474.0,10441.0,0.2999664767013074,False
Gilpin,247.0,0.0,1.0,True
Grand,1078.0,337.0,0.7618374558303886,True
Gunnison,622.0,0.0,1.0,True
Hinsdale,427.0,196.0,0.6853932584269663,True
Huerfano,243.0,0.0,1.0,True
Kiowa,852.0,776.0,0.5233415233415234,True
Kit Carson,27.0,0.0,1.0,True
La Plata,2285.0,0.0,1.0,True
Larimer,9895.0,0.0,1.0,True
Las Animas,186.0,0.0,1.0,True
Mesa,1886.0,0.0,1.0,True
Mineral,2464.0,4974.0,0.3312718472707717,False
Moffat,49.0,0.0,1.0,True
Montezuma,610.0,0.0,1.0,True
Montrose,468.0,0.0,1.0,True
Otero,2686.0,4094.0,0.396165191740413,False
Ouray,242.0,0.0,1.0,True
Park,2752.0,2289.0,0.5459234278912914,True
Pitkin,770.0,0.0,1.0,True
Prowers,58.0,0.0,1.0,True
Pueblo,2400.0,0.0,1.0,True
Rio Blanco,26.0,0.0,1.0,True
Rio Grande,106.0,0.0,1.0,True
Routt,636.0,0.0,1.0,True
Saguache,266.0,0.0,1.0,True
San Juan,6021.0,9221.0,0.3950268993570398,False
San Miguel,6177.0,503.0,0.9247005988023952,True
Sedgwick,25.0,0.0,1.0,True
Summit,71416.0,155499.0,0.3147257783751625,False
Teller,345.0,0.0,1.0,True
Weld,2691.0,0.0,1.0,True
Andover,6777.0,5269.0,0.5625933919973435,True
Ansonia,1192.0,709.0,0.6270384008416623,True
Ashford,589.0,278.0,0.6793540945790081,True
Avon,2679.0,2620.0,0.5055670881298359,True
Barkhamsted,347.0,437.0,0.44260204081632654,False
Beacon Falls,420.0,490.0,0.46153846153846156,False
Berlin,3320.0,2655.0,0.5556485355648536,True
Bethany,686.0,587.0,0.5388845247446976,True
Bethel,2001.0,1713.0,0.5387722132471728,True
Bethlehem,370.0,482.0,0.43427230046948356,False
Bloomfield,3811.0,729.0,0.8394273127753304,True
Bolton,2035.0,1486.0,0.5779608065890373,True
Bozrah,265.0,179.0,0.5968468468468469,True
Branford,3310.0,1658.0,0.6662640901771336,True
Bridgeport,11034.0,1160.0,0.9048712481548302,True
Bridgewater,3826.0,3368.0,0.5318320822907979,True
Bristol,9096.0,6933.0,0.5674714579824068,True
Brookfield,2024.0,2368.0,0.46083788706739526,False
Brooklyn,291103.0,23818.0,0.9243683336455809,True
Burlington,68731.0,32933.0,0.6760603556814605,True
Canaan,338.0,191.0,0.6389413988657845,True
Canterbury,345.0,520.0,0.3988439306358382,False
Canton,5587.0,3896.0,0.5891595486660339,True
Chaplin,209.0,197.0,0.5147783251231527,True
Cheshire,20814.0,15811.0,0.5683003412969283,True
Chester,63444.0,80959.0,0.43935375303837176,False
Clinton,30776.0,51591.0,0.3736447849260019,False
Colchester,4728.0,2778.0,0.6298960831334932,True
Colebrook,139.0,142.0,0.49466192170818507,False
Cornwall,708.0,238.0,0.7484143763213531,True
Coventry,4693.0,3837.0,0.5501758499413834,True
Cromwell,1449.0,1087.0,0.5713722397476341,True
Danbury,4226.0,3135.0,0.5741067789702486,True
Darien,1195.0,2540.0,0.31994645247657294,False
Deep River,581.0,296.0,0.6624857468643102,True
Derby,1683.0,1035.0,0.6192052980132451,True
Durham,62149.0,16686.0,0.7883427411682629,True
East Granby,527.0,550.0,0.489322191272052,False
East Haddam,977.0,795.0,0.551354401805869,True
East Hampton,1244.0,993.0,0.5561019222172553,True
East Hartford,4240.0,1149.0,0.786787901280386,True
East Haven,1924.0,1290.0,0.5986309894212819,True
East Lyme,1983.0,1549.0,0.5614382785956965,True
East Windsor,869.0,623.0,0.5824396782841823,True
Eastford,179.0,202.0,0.46981627296587924,False
Easton,4321.0,3905.0,0.5252856795526379,True
Ellington,1146.0,1293.0,0.4698646986469865,False
Enfield,3143.0,2365.0,0.5706245461147422,True
Essex,111861.0,22849.0,0.8303837873951452,True
Fairfield,21436.0,39344.0,0.35268180322474496,False
Farmington,2599.0,2013.0,0.563529921942758,True
Glastonbury,3815.0,3156.0,0.5472672500358629,True
Goshen,637.0,546.0,0.5384615384615384,True
Granby,2558.0,2422.0,0.5136546184738956,True
Greenwich,4649.0,6150.0,0.4305028243355866,False
Griswold,875.0,714.0,0.5506607929515418,True
Groton,5345.0,3542.0,0.6014403060650388,True
Guilford,70004.0,53956.0,0.5647305582445951,True
Haddam,1041.0,796.0,0.5666848121937942,True
Hamden,8555.0,2115.0,0.8017806935332709,True
Hampton,19712.0,11222.0,0.6372276459559061,True
Hartford,12850.0,1493.0,0.8959074112807641,True
Hartland,1103.0,662.0,0.624929178470255,True
Harwinton,451.0,666.0,0.40376007162041183,False
Hebron,946.0,859.0,0.5240997229916897,True
Kent,84663.0,110041.0,0.4348292793162955,False
Killingly,886.0,711.0,0.5547902316844082,True
Killingworth,713.0,766.0,0.48208248816768084,False
Lebanon,9720.0,24436.0,0.2845766483194753,False
Ledyard,1156.0,1200.0,0.4906621392190153,False
Lisbon,393.0,304.0,0.563845050215208,True
Litchfield,885.0,984.0,0.47351524879614765,False
Lyme,394.0,297.0,0.5701881331403763,True
Manchester,7763.0,3865.0,0.6676126590987272,True
Mansfield,6909.0,3572.0,0.6591928251121076,True
Marlborough,6850.0,4159.0,0.6222181851212644,True
Meriden,3761.0,1857.0,0.6694553221787113,True
Middlebury,2382.0,1630.0,0.5937188434695913,True
Middlefield,604.0,376.0,0.6163265306122448,True
Middletown,7007.0,2717.0,0.7205882352941176,True
Milford,8687.0,6113.0,0.5869594594594595,True
Montville,1239.0,952.0,0.5654952076677316,True
Morris,42302.0,52502.0,0.4462048014851694,False
Naugatuck,1962.0,1693.0,0.5367989056087551,True
New Britain,5011.0,1353.0,0.7873978629792583,True
New Canaan,1337.0,2792.0,0.3238072172438847,False
New Fairfield,900.0,1298.0,0.4094631483166515,False
New Hartford,690.0,814.0,0.4587765957446808,False
New Haven,17244.0,1246.0,0.9326122228231476,True
New London,2499.0,463.0,0.8436866981769074,True
New Milford,2068.0,2065.0,0.500362932494556,True
Newington,3263.0,1698.0,0.6577302963112276,True
Newtown,2539.0,2854.0,0.47079547561653995,False
Norfolk,24664.0,14009.0,0.6377576086675458,True
North Branford,998.0,1028.0,0.49259624876604147,False
North Canaan,283.0,246.0,0.5349716446124764,True
North Haven,2085.0,2023.0,0.5075462512171373,True
North Stonington,477.0,541.0,0.468565815324165,False
Norwalk,7446.0,3745.0,0.6653560897149495,True
Norwich,4269.0,1400.0,0.7530428647027695,True
Old Lyme,910.0,885.0,0.5069637883008357,True
Old Saybrook,1248.0,1136.0,0.5234899328859061,True
Oxford,2414.0,3076.0,0.4397085610200364,False
Plainfield,1545.0,828.0,0.6510745891276865,True
Plainville,2704.0,2324.0,0.5377883850437549,True
Plymouth,10957.0,10814.0,0.5032841853842267,True
Pomfret,768.0,418.0,0.6475548060708263,True
Portland,1300.0,696.0,0.6513026052104208,True
Preston,3007.0,5270.0,0.36329588014981273,False
Prospect,607.0,1039.0,0.3687727825030377,False
Putnam,29158.0,58875.0,0.33121670282734883,False
Redding,1180.0,973.0,0.5480724570366929,True
Ridgefield,2605.0,2605.0,0.5,False
Rocky Hill,1910.0,1224.0,0.6094447989789407,True
Roxbury,483.0,331.0,0.5933660933660934,True
Salem,16103.0,10650.0,0.6019138040593578,True
Salisbury,2426.0,1533.0,0.6127810053043697,True
Scotland,4202.0,2805.0,0.5996860282574569,True
Seymour,998.0,1106.0,0.47433460076045625,False
Sharon,5196.0,2152.0,0.7071311921611323,True
Shelton,2511.0,3507.0,0.4172482552342971,False
Sherman,531.0,1644.0,0.24413793103448275,False
Simsbury,2754.0,2685.0,0.5063430777716492,True
Somers,548.0,1040.0,0.345088161209068,False
South Windsor,2777.0,1836.0,0.6019943637546066,True
Southbury,1787.0,2421.0,0.42466730038022815,False
Southington,3414.0,3491.0,0.4944243301955105,False
Sprague,276.0,209.0,0.5690721649484536,True
Stafford,11612.0,20863.0,0.35756735950731333,False
Stamford,11416.0,6032.0,0.6542870243007795,True
Sterling,1600.0,2109.0,0.43138312213534646,False
Stonington,2192.0,1332.0,0.6220204313280363,True
Stratford,4546.0,2855.0,0.6142413187407108,True
Suffield,1180.0,1291.0,0.4775394577094294,False
Thomaston,476.0,656.0,0.4204946996466431,False
Thompson,633.0,540.0,0.5396419437340153,True
Tolland,1460.0,1304.0,0.5282199710564399,True
Torrington,2143.0,2031.0,0.5134163871586008,True
Trumbull,35515.0,31471.0,0.5301854118771087,True
Vernon,10302.0,12468.0,0.45243741765480894,False
Voluntown,190.0,220.0,0.4634146341463415,False
Wallingford,3795.0,2835.0,0.5723981900452488,True
Warren,59163.0,116903.0,0.33602739881635296,False
Waterbury,7021.0,2789.0,0.7156982670744139,True
Waterford,2122.0,1525.0,0.581848094324102,True
Watertown,10122.0,4458.0,0.694238683127572,True
West Hartford,10007.0,3304.0,0.7517842385996544,True
West Haven,4800.0,1303.0,0.7864984433884975,True
Westbrook,643.0,666.0,0.4912146676852559,False
Weston,3686.0,2583.0,0.587972563407242,True
Westport,6606.0,4087.0,0.617787337510521,True
Wethersfield,3056.0,1963.0,0.6088862323171946,True
Willington,640.0,421.0,0.6032045240339302,True
Wilton,1847.0,2071.0,0.4714139867279224,False
Winchester,7511.0,6492.0,0.536385060344212,True
Windham,2074.0,597.0,0.7764882066641707,True
Windsor,5479.0,1774.0,0.7554115538397904,True
Windsor Locks,994.0,669.0,0.597714972940469,True
Wolcott,1227.0,1449.0,0.4585201793721973,False
Woodbridge,1439.0,737.0,0.6613051470588235,True
Woodbury,4788.0,6520.0,0.42341704987619383,False
Woodstock,1710.0,1129.0,0.6023247622402255,True
New Castle,64318.0,31069.0,0.6742847557843312,True
Sussex,26294.0,42524.0,0.38208026969688164,False
Alachua,35323.0,23335.0,0.6021855501380886,True
Baker,3046.0,7878.0,0.27883559135847674,False
Bay,21640.0,41744.0,0.341411081660987,False
Bradford,5994.0,14104.0,0.29823863070952333,False
Brevard,51918.0,95397.0,0.3524284696059464,False
Broward,180857.0,104576.0,0.6336233021409577,True
Charlotte,14827.0,31101.0,0.32283138825988505,False
Citrus,11639.0,26794.0,0.3028387063200895,False
Collier,18839.0,63281.0,0.2294081831466147,False
DeSoto,10899.0,30218.0,0.2650728409173821,False
Dixie,868.0,1689.0,0.3394603050449746,False
Duval,88143.0,108151.0,0.4490356302281272,False
Flagler,9129.0,16459.0,0.35676879787400345,False
Gadsden,9390.0,2309.0,0.8026327036498846,True
Gilchrist,1006.0,3100.0,0.24500730638090598,False
Glades,700.0,1058.0,0.3981797497155859,False
Gulf,1088.0,2036.0,0.34827144686299616,False
Hamilton,152376.0,272091.0,0.35898197032984897,False
Hardee,922.0,2121.0,0.30299046993098916,False
Hendry,1803.0,2556.0,0.4136269786648314,False
Hernando,14394.0,26393.0,0.3529065633657783,False
Highlands,5765.0,14462.0,0.2850150788549958,False
Hillsborough,174186.0,207192.0,0.4567279706747636,False
Holmes,5609.0,8833.0,0.38838111064949454,False
Indian River,10823.0,27381.0,0.28329494293791224,False
Leon,47577.0,32971.0,0.5906664349207925,True
Levy,2924.0,6270.0,0.3180335001087666,False
Liberty,5743.0,14990.0,0.2769980224762456,False
Manatee,28281.0,53773.0,0.34466327052916373,False
Martin,15431.0,36247.0,0.2985990169898216,False
Miami-Dade,171476.0,173418.0,0.497184642237905,False
Nassau,118218.0,115558.0,0.5056892067620286,True
Okaloosa,8341.0,37994.0,0.1800151073702385,False
Okeechobee,1934.0,3656.0,0.34597495527728084,False
Osceola,25507.0,25547.0,0.4996082579229835,False
Palm Beach,142683.0,124149.0,0.5347297175751035,True
Pasco,36253.0,63611.0,0.36302371224865815,False
Pinellas,103441.0,124056.0,0.45469171022035454,False
Santa Rosa,7540.0,33396.0,0.18418995505178815,False
Sarasota,41657.0,70660.0,0.3708877551928915,False
Seminole,39846.0,63022.0,0.3873507796399269,False
St. Johns,16687.0,49596.0,0.2517538433685862,False
St. Lucie,25645.0,30614.0,0.45583817700279067,False
Suwannee,3025.0,5545.0,0.352975495915986,False
Taylor,11629.0,33326.0,0.2586809031253476,False
Volusia,42446.0,61542.0,0.4081817132746086,False
Wakulla,3083.0,3759.0,0.45059923998830753,False
Walton,6154.0,31296.0,0.16432576769025367,False
Appling,632.0,3053.0,0.17150610583446405,False
Atkinson,251.0,934.0,0.21181434599156118,False
Bacon,171.0,1658.0,0.09349371241115363,False
Banks,341.0,3634.0,0.08578616352201258,False
Barrow,2336.0,11259.0,0.1718278778962854,False
Bartow,3706.0,17723.0,0.17294320780251063,False
Ben Hill,958.0,1799.0,0.3474791439970983,False
Berrien,13069.0,23765.0,0.35480805777271,False
Bleckley,468.0,2111.0,0.1814656843737883,False
Brantley,260.0,2323.0,0.10065814943863724,False
Brooks,2879.0,1973.0,0.593363561417972,True
Bryan,4357.0,8366.0,0.34245067987109956,False
Bulloch,3131.0,8120.0,0.27828637454448496,False
Burke,9130.0,13691.0,0.4000701108628018,False
Butts,1113.0,3826.0,0.22534926098400485,False
Camden,75792.0,35131.0,0.6832848011683781,True
Candler,544.0,1765.0,0.23559982676483326,False
Catoosa,2108.0,10964.0,0.16126070991432068,False
Charlton,1996.0,3057.0,0.3950128636453592,False
Chatham,41646.0,40043.0,0.5098116025413458,True
Chattahoochee,222.0,316.0,0.41263940520446096,False
Chattooga,868.0,3198.0,0.2134776192818495,False
Clayton,31481.0,8471.0,0.7879705646776132,True
Clinch,205.0,784.0,0.20728008088978767,False
Cobb,61667.0,110737.0,0.35768891673047026,False
Colquitt,1337.0,5846.0,0.1861339273284143,False
Cook,751.0,2212.0,0.253459331758353,False
Coweta,6769.0,24999.0,0.21307605137245025,False
Crisp,901.0,2366.0,0.27578818487909396,False
Dade,885.0,4725.0,0.15775401069518716,False
Dawson,1290.0,12475.0,0.09371594624046495,False
Decatur,3773.0,10895.0,0.25722661576220346,False
Dodge,11854.0,25926.0,0.31376389624139756,False
Dooly,828.0,1038.0,0.4437299035369775,False
Dougherty,10326.0,6455.0,0.6153387759966629,True
Early,747.0,1326.0,0.36034732272069464,False
Echols,68.0,451.0,0.13102119460500963,False
Effingham,3912.0,16887.0,0.18808596567142652,False
Emanuel,899.0,2928.0,0.2349098510582702,False
Evans,432.0,1240.0,0.2583732057416268,False
Fannin,1683.0,11151.0,0.13113604488078542,False
Floyd,21154.0,31900.0,0.39872582651637956,False
Forsyth,48068.0,82266.0,0.3688062976659966,False
Gilmer,1896.0,6845.0,0.21690882050108684,False
Glascock,57.0,674.0,0.07797537619699042,False
Glynn,4147.0,12398.0,0.25064974312481114,False
Gordon,1329.0,8455.0,0.1358340147179068,False
Grady,5454.0,10704.0,0.33754177497215004,False
